Description                  Time (us)   %Total  %Parent
--------------------------------------------------------
al                              62822      100      100
  convergence_check                 0        0        0
  dual_update                     105        0        0
  ilqr                          62150       98       98
      backward_pass             18058       28       29
      convergence_check             0        0        0
      cost                        487        0        0
      expansions                20987       33       33
      forward_pass              21407       34       34
                  cost           8278       13       38
                  rollout       12704       20       59
      init                          1        0        0
      stats                       471        0        0
  init                            355        0        0
      cost                        116        0       32
  penalty_update                   14        0        0
  stats                           138        0        0
