Description                  Time (us)   %Total  %Parent
--------------------------------------------------------
al                              10692      100      100
  convergence_check                 0        0        0
  dual_update                       0        0        0
  ilqr                          10372       97       97
      backward_pass              3827       35       36
      convergence_check             0        0        0
      cost                         57        0        0
      expansions                 2377       22       22
      forward_pass               3901       36       37
                  cost           1045        9       26
                  rollout        2778       25       71
      init                          1        0        0
      stats                        54        0        0
  init                            302        2        2
      cost                         79        0       26
  stats                             5        0        0
